Jop title,company,location,date,description,apply_link,scrape_date,skill_python,skill_javascript,skill_django,skill_flask,skill_sql,skill_aws,skill_docker
software developer (python),Moreno-Rodriguez,"Martinezburgh, AE",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
"surveyor, land/geomatics",Brown-Ortiz,"Joshuatown, AE",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
legal executive,Hartman PLC,"West Ericstad, AA",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
"librarian, academic",Brooks Inc,"Tuckertown, AE",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
barrister,Washington-Castillo,"Perezton, AE",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
museum/gallery exhibitions officer,"Nguyen, Yoder and Petty","Lake Abigail, AE",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
"radiographer, diagnostic",Holder LLC,"Jacobshire, AP",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
database administrator,Yates-Ferguson,"Port Susan, AE",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
furniture designer,Ortega-Lawrence,"North Tiffany, AA",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
ship broker,"Fuentes, Walls and Castro","Michelleville, AP",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
